Year,State,County,Population
2000,Nebraska,Banner County,815
2000,Nebraska,Blaine County,583
2000,Nebraska,Boone County,6259
2000,Nebraska,Box Butte County,12159
2000,Nebraska,Boyd County,2443
2000,Nebraska,Brown County,3525
2000,Nebraska,Buffalo County,42232
2000,Nebraska,Burt County,7791
2000,Nebraska,Butler County,8857
2000,Nebraska,Cass County,24319
2000,Nebraska,Cedar County,9626
2000,Nebraska,Chase County,4068
2000,Nebraska,Cherry County,6149
2000,Nebraska,Cheyenne County,9833
2000,Nebraska,Clay County,7036
2000,Nebraska,Colfax County,10434
2000,Nebraska,Cuming County,10203
2000,Nebraska,Custer County,11794
2000,Nebraska,Dakota County,20265
2000,Nebraska,Dawes County,9060
2000,Nebraska,Dawson County,24370
2000,Nebraska,Deuel County,2089
2000,Nebraska,Dixon County,6277
2000,Nebraska,Dodge County,36150
2000,Nebraska,Douglas County,463567
2000,Nebraska,Dundy County,2292
2000,Nebraska,Fillmore County,6634
2000,Nebraska,Franklin County,3569
2000,Nebraska,Frontier County,3089
2000,Nebraska,Furnas County,5324
2000,Nebraska,Gage County,22992
2000,Nebraska,Garden County,2294
2000,Nebraska,Garfield County,1902
2000,Nebraska,Gosper County,2143
2000,Nebraska,Grant County,735
2000,Nebraska,Greeley County,2714
2000,Nebraska,Hall County,53577
2000,Nebraska,Hamilton County,9408
2000,Nebraska,Harlan County,3783
2000,Nebraska,Hayes County,1068
2000,Nebraska,Hitchcock County,3110
2000,Nebraska,Holt County,11544
2000,Nebraska,Hooker County,783
2000,Nebraska,Howard County,6561
2000,Nebraska,Jefferson County,8340
2000,Nebraska,Johnson County,4488
2000,Nebraska,Kearney County,6887
2000,Nebraska,Keith County,8868
2000,Nebraska,Keya Paha County,985
2000,Nebraska,Kimball County,4085
2000,Nebraska,Knox County,9370
2000,Nebraska,Lancaster County,250307
2000,Nebraska,Lincoln County,34630
2000,Nebraska,Logan County,774
2000,Nebraska,Loup County,712
2000,Nebraska,Madison County,35254
2000,Nebraska,Mcpherson County,533
2000,Nebraska,Merrick County,8189
2000,Nebraska,Morrill County,5443
2000,Nebraska,Nance County,4042
2000,Nebraska,Nemaha County,7580
2000,Nebraska,Nuckolls County,5056
2000,Nebraska,Otoe County,15402
2000,Nebraska,Pawnee County,3089
2000,Nebraska,Perkins County,3199
2000,Nebraska,Phelps County,9746
2000,Nebraska,Pierce County,7843
2000,Nebraska,Platte County,31574
2000,Nebraska,Polk County,5629
2000,Nebraska,Red Willow County,11456
2000,Nebraska,Richardson County,9531
2000,Nebraska,Rock County,1754
2000,Nebraska,Saline County,13858
2000,Nebraska,Sarpy County,122633
2000,Nebraska,Saunders County,19827
2000,Nebraska,Scotts Bluff County,36952
2000,Nebraska,Seward County,16491
2000,Nebraska,Sheridan County,6186
2000,Nebraska,Sherman County,3312
2000,Nebraska,Sioux County,1475
2000,Nebraska,Stanton County,6453
2000,Nebraska,Thayer County,6042
2000,Nebraska,Thomas County,728
2000,Nebraska,Thurston County,7167
2000,Nebraska,Valley County,4651
2000,Nebraska,Washington County,18787
2000,Nebraska,Wayne County,9890
2000,Nebraska,Webster County,4055
2000,Nebraska,Wheeler County,888
2000,Nebraska,York County,14602
2000,Nevada,Carson City,52477
2000,Nevada,Churchill County,23984
2000,Nevada,Clark County,1375741
2000,Nevada,Douglas County,41245
2000,Nevada,Elko County,45287
2000,Nevada,Esmeralda County,971
2000,Nevada,Eureka County,1651
2000,Nevada,Humboldt County,16081
2000,Nevada,Lander County,5790
2000,Nevada,Lincoln County,4165
2000,Nevada,Lyon County,34503
2000,Nevada,Mineral County,5070
2000,Nevada,Nye County,32522
2000,Nevada,Pershing County,6711
2000,Nevada,Storey County,3408
2000,Nevada,Washoe County,339473
2000,Nevada,White Pine County,9171
2000,New Hampshire,Belknap County,56268
2000,New Hampshire,Carroll County,43697
2000,New Hampshire,Cheshire County,73811
2000,New Hampshire,Coos County,33089
2000,New Hampshire,Grafton County,81764
2000,New Hampshire,Hillsborough County,380856
2000,New Hampshire,Merrimack County,136264
2000,New Hampshire,Rockingham County,277388
2000,New Hampshire,Strafford County,112235
2000,New Hampshire,Sullivan County,40435
2000,New Jersey,Atlantic County,253210
2000,New Jersey,Bergen County,884179
2000,New Jersey,Burlington County,423329
2000,New Jersey,Camden County,507075
2000,New Jersey,Cape May County,102323
2000,New Jersey,Cumberland County,146454
2000,New Jersey,Essex County,792235
2000,New Jersey,Gloucester County,255946
2000,New Jersey,Hudson County,609041
2000,New Jersey,Hunterdon County,122110
2000,New Jersey,Mercer County,350773
2000,New Jersey,Middlesex County,750275
2000,New Jersey,Monmouth County,615253
2000,New Jersey,Morris County,470277
2000,New Jersey,Ocean County,510950
2000,New Jersey,Passaic County,490285
2000,New Jersey,Salem County,64272
2000,New Jersey,Somerset County,297544
2000,New Jersey,Sussex County,144343
2000,New Jersey,Union County,522507
2000,New Jersey,Warren County,102383
2000,New Mexico,Bernalillo County,556120
2000,New Mexico,Catron County,3538
2000,New Mexico,Chaves County,61373
2000,New Mexico,Cibola County,25588
2000,New Mexico,Colfax County,14191
2000,New Mexico,Curry County,45050
2000,New Mexico,De Baca County,2240
2000,New Mexico,Doña Ana County,174880
2000,New Mexico,Eddy County,51633
2000,New Mexico,Grant County,31004
2000,New Mexico,Guadalupe County,4677
2000,New Mexico,Harding County,807
2000,New Mexico,Hidalgo County,5930
2000,New Mexico,Lea County,55528
2000,New Mexico,Lincoln County,19374
2000,New Mexico,Los Alamos County,18347
2000,New Mexico,Luna County,24986
2000,New Mexico,Mckinley County,74795
2000,New Mexico,Mora County,5178
2000,New Mexico,Otero County,62195
2000,New Mexico,Quay County,10088
2000,New Mexico,Rio Arriba County,41171
2000,New Mexico,Roosevelt County,18022
2000,New Mexico,San Juan County,113812
2000,New Mexico,San Miguel County,30089
2000,New Mexico,Sandoval County,90546
2000,New Mexico,Santa Fe County,129304
2000,New Mexico,Sierra County,13261
2000,New Mexico,Socorro County,18056
2000,New Mexico,Taos County,29981
2000,New Mexico,Torrance County,16894
2000,New Mexico,Union County,4190
2000,New Mexico,Valencia County,66169
2000,New York,Albany County,294601
2000,New York,Allegany County,49881
2000,New York,Bronx County,1332244
2000,New York,Broome County,200415
2000,New York,Cattaraugus County,83874
2000,New York,Cayuga County,81910
2000,New York,Chautauqua County,139698
2000,New York,Chemung County,91119
2000,New York,Chenango County,51356
2000,New York,Clinton County,79882
2000,New York,Columbia County,63074
2000,New York,Cortland County,48704
2000,New York,Delaware County,47894
2000,New York,Dutchess County,280032
2000,New York,Erie County,950227
2000,New York,Essex County,38893
2000,New York,Franklin County,51110
2000,New York,Fulton County,55053
2000,New York,Genesee County,60548
2000,New York,Greene County,48021
2000,New York,Hamilton County,5376
2000,New York,Herkimer County,64502
2000,New York,Jefferson County,111716
2000,New York,Kings County,2465689
2000,New York,Lewis County,26946
2000,New York,Livingston County,64631
2000,New York,Madison County,69420
2000,New York,Monroe County,735328
2000,New York,Montgomery County,49637
2000,New York,Nassau County,1334625
2000,New York,New York County,1538096
2000,New York,Niagara County,219795
2000,New York,Oneida County,235516
2000,New York,Onondaga County,458326
2000,New York,Ontario County,100009
2000,New York,Orange County,341397
2000,New York,Orleans County,44184
2000,New York,Oswego County,122387
2000,New York,Otsego County,61692
2000,New York,Putnam County,95731
2000,New York,Queens County,2229394
2000,New York,Rensselaer County,152553
2000,New York,Richmond County,443762
2000,New York,Rockland County,286794
2000,New York,Saratoga County,200626
2000,New York,Schenectady County,146652
2000,New York,Schoharie County,31488
2000,New York,Schuyler County,19188
2000,New York,Seneca County,33319
2000,New York,St. Lawrence County,111922
2000,New York,Steuben County,98681
2000,New York,Suffolk County,1419379
2000,New York,Sullivan County,73885
2000,New York,Tioga County,51883
2000,New York,Tompkins County,96487
2000,New York,Ulster County,177726
2000,New York,Warren County,63263
2000,New York,Washington County,61032
2000,New York,Wayne County,93779
2000,New York,Westchester County,923621
2000,New York,Wyoming County,43462
2000,New York,Yates County,24591
2000,North Carolina,Alamance County,130750
2000,North Carolina,Alexander County,33566
2000,North Carolina,Alleghany County,10672
2000,North Carolina,Anson County,25268
2000,North Carolina,Ashe County,24394
2000,North Carolina,Avery County,17149
2000,North Carolina,Beaufort County,44916
2000,North Carolina,Bertie County,19765
2000,North Carolina,Bladen County,32252
2000,North Carolina,Brunswick County,73121
2000,North Carolina,Buncombe County,206365
2000,North Carolina,Burke County,89163
2000,North Carolina,Cabarrus County,131043
2000,North Carolina,Caldwell County,77425
2000,North Carolina,Camden County,6884
2000,North Carolina,Carteret County,59334
2000,North Carolina,Caswell County,23474
2000,North Carolina,Catawba County,141700
2000,North Carolina,Chatham County,49396
2000,North Carolina,Cherokee County,24261
2000,North Carolina,Chowan County,14522
2000,North Carolina,Clay County,8778
2000,North Carolina,Cleveland County,96129
2000,North Carolina,Columbus County,54758
2000,North Carolina,Craven County,91526
2000,North Carolina,Cumberland County,302978
2000,North Carolina,Currituck County,18179
2000,North Carolina,Dare County,29959
2000,North Carolina,Davidson County,147248
2000,North Carolina,Davie County,34841
2000,North Carolina,Duplin County,49054
2000,North Carolina,Durham County,223270
2000,North Carolina,Edgecombe County,55604
2000,North Carolina,Forsyth County,306274
2000,North Carolina,Franklin County,47284
2000,North Carolina,Gaston County,190445
2000,North Carolina,Gates County,10521
2000,North Carolina,Graham County,7996
2000,North Carolina,Granville County,48486
2000,North Carolina,Greene County,18957
2000,North Carolina,Guilford County,420848
2000,North Carolina,Halifax County,57444
2000,North Carolina,Harnett County,90978
2000,North Carolina,Haywood County,54025
2000,North Carolina,Henderson County,89184
2000,North Carolina,Hertford County,22588
2000,North Carolina,Hoke County,33708
2000,North Carolina,Hyde County,5817
2000,North Carolina,Iredell County,122631
2000,North Carolina,Jackson County,33103
2000,North Carolina,Johnston County,121998
2000,North Carolina,Jones County,10311
2000,North Carolina,Lee County,49196
2000,North Carolina,Lenoir County,59636
2000,North Carolina,Lincoln County,63810
2000,North Carolina,Macon County,29802
2000,North Carolina,Madison County,19612
2000,North Carolina,Martin County,25549
2000,North Carolina,Mcdowell County,42134
2000,North Carolina,Mecklenburg County,695348
2000,North Carolina,Mitchell County,15687
2000,North Carolina,Montgomery County,26797
2000,North Carolina,Moore County,74772
2000,North Carolina,Nash County,87378
2000,North Carolina,New Hanover County,160315
2000,North Carolina,Northampton County,22051
2000,North Carolina,Onslow County,150418
2000,North Carolina,Orange County,115589
2000,North Carolina,Pamlico County,12896
2000,North Carolina,Pasquotank County,34890
2000,North Carolina,Pender County,41071
2000,North Carolina,Perquimans County,11369
2000,North Carolina,Person County,35603
2000,North Carolina,Pitt County,133759
2000,North Carolina,Polk County,18299
2000,North Carolina,Randolph County,130503
2000,North Carolina,Richmond County,46597
2000,North Carolina,Robeson County,123170
2000,North Carolina,Rockingham County,92018
2000,North Carolina,Rowan County,130364
2000,North Carolina,Rutherford County,62923
2000,North Carolina,Sampson County,60157
2000,North Carolina,Scotland County,35952
2000,North Carolina,Stanly County,58092
2000,North Carolina,Stokes County,44640
2000,North Carolina,Surry County,71208
2000,North Carolina,Swain County,12980
2000,North Carolina,Transylvania County,29316
2000,North Carolina,Tyrrell County,4143
2000,North Carolina,Union County,123834
2000,North Carolina,Vance County,42946
2000,North Carolina,Wake County,627906
2000,North Carolina,Warren County,19861
2000,North Carolina,Washington County,13730
2000,North Carolina,Watauga County,42684
2000,North Carolina,Wayne County,113449
2000,North Carolina,Wilkes County,65630
2000,North Carolina,Wilson County,73810
2000,North Carolina,Yadkin County,36352
2000,North Carolina,Yancey County,17758
2000,North Dakota,Adams County,2593
2000,North Dakota,Barnes County,11772
2000,North Dakota,Benson County,6961
2000,North Dakota,Billings County,888
2000,North Dakota,Bottineau County,7156
2000,North Dakota,Bowman County,3243
2000,North Dakota,Burke County,2243
2000,North Dakota,Burleigh County,69408
2000,North Dakota,Cass County,123171
2000,North Dakota,Cavalier County,4832
2000,North Dakota,Dickey County,5768
2000,North Dakota,Divide County,2283
2000,North Dakota,Dunn County,3606
2000,North Dakota,Eddy County,2756
2000,North Dakota,Emmons County,4327
2000,North Dakota,Foster County,3761
2000,North Dakota,Golden Valley County,1925
2000,North Dakota,Grand Forks County,66119
2000,North Dakota,Grant County,2841
2000,North Dakota,Griggs County,2754
2000,North Dakota,Hettinger County,2715
2000,North Dakota,Kidder County,2738
2000,North Dakota,Lamoure County,4690
2000,North Dakota,Logan County,2315
2000,North Dakota,Mchenry County,5983
2000,North Dakota,Mcintosh County,3388
2000,North Dakota,Mckenzie County,5738
2000,North Dakota,Mclean County,9346
2000,North Dakota,Mercer County,8634
2000,North Dakota,Morton County,25301
2000,North Dakota,Mountrail County,6636
2000,North Dakota,Nelson County,3706
2000,North Dakota,Oliver County,2057
2000,North Dakota,Pembina County,8620
2000,North Dakota,Pierce County,4667
2000,North Dakota,Ramsey County,12062
2000,North Dakota,Ransom County,5896
2000,North Dakota,Renville County,2612
2000,North Dakota,Richland County,17992
2000,North Dakota,Rolette County,13674
2000,North Dakota,Sargent County,4362
2000,North Dakota,Sheridan County,1711
2000,North Dakota,Sioux County,4043
2000,North Dakota,Slope County,765
2000,North Dakota,Stark County,22635
2000,North Dakota,Steele County,2252
2000,North Dakota,Stutsman County,21912
2000,North Dakota,Towner County,2878
2000,North Dakota,Traill County,8479
2000,North Dakota,Walsh County,12375
2000,North Dakota,Ward County,58799
2000,North Dakota,Wells County,5095
2000,North Dakota,Williams County,19754
2000,Ohio,Adams County,27303
2000,Ohio,Allen County,108464
2000,Ohio,Ashland County,52516
2000,Ohio,Ashtabula County,102681
2000,Ohio,Athens County,62193
2000,Ohio,Auglaize County,46230
2000,Ohio,Belmont County,70239
2000,Ohio,Brown County,42261
2000,Ohio,Butler County,332341
2000,Ohio,Carroll County,28822
2000,Ohio,Champaign County,38904
2000,Ohio,Clark County,144742
2000,Ohio,Clermont County,177322
2000,Ohio,Clinton County,40473
2000,Ohio,Columbiana County,112050
2000,Ohio,Coshocton County,36654
2000,Ohio,Crawford County,46909
2000,Ohio,Cuyahoga County,1393871
2000,Ohio,Darke County,53313
2000,Ohio,Defiance County,39502
2000,Ohio,Delaware County,109974
2000,Ohio,Erie County,79623
2000,Ohio,Fairfield County,122943
2000,Ohio,Fayette County,28474
2000,Ohio,Franklin County,1068736
2000,Ohio,Fulton County,42051
2000,Ohio,Gallia County,31058
2000,Ohio,Geauga County,90935
2000,Ohio,Greene County,147931
2000,Ohio,Guernsey County,40813
2000,Ohio,Hamilton County,845289
2000,Ohio,Hancock County,71303
2000,Ohio,Hardin County,31966
2000,Ohio,Harrison County,15847
2000,Ohio,Henry County,29202
2000,Ohio,Highland County,40853
2000,Ohio,Hocking County,28263
2000,Ohio,Holmes County,38940
2000,Ohio,Huron County,59447
2000,Ohio,Jackson County,32653
2000,Ohio,Jefferson County,73886
2000,Ohio,Knox County,54482
2000,Ohio,Lake County,227482
2000,Ohio,Lawrence County,62330
2000,Ohio,Licking County,145699
2000,Ohio,Logan County,46002
2000,Ohio,Lorain County,284657
2000,Ohio,Lucas County,455093
2000,Ohio,Madison County,40210
2000,Ohio,Mahoning County,257588
2000,Ohio,Marion County,66198
2000,Ohio,Medina County,151096
2000,Ohio,Meigs County,23058
2000,Ohio,Mercer County,40936
2000,Ohio,Miami County,98899
2000,Ohio,Monroe County,15172
2000,Ohio,Montgomery County,559141
2000,Ohio,Morgan County,14947
2000,Ohio,Morrow County,31646
2000,Ohio,Muskingum County,84549
2000,Ohio,Noble County,14058
2000,Ohio,Ottawa County,40974
2000,Ohio,Paulding County,20297
2000,Ohio,Perry County,34052
2000,Ohio,Pickaway County,52728
2000,Ohio,Pike County,27628
2000,Ohio,Portage County,152126
2000,Ohio,Preble County,42340
2000,Ohio,Putnam County,34722
2000,Ohio,Richland County,128932
2000,Ohio,Ross County,73382
2000,Ohio,Sandusky County,61797
2000,Ohio,Scioto County,79215
2000,Ohio,Seneca County,58663
2000,Ohio,Shelby County,48292
2000,Ohio,Stark County,378144
2000,Ohio,Summit County,542849
2000,Ohio,Trumbull County,225105
2000,Ohio,Tuscarawas County,90919
2000,Ohio,Union County,40975
2000,Ohio,Van Wert County,29654
2000,Ohio,Vinton County,12809
2000,Ohio,Warren County,159551
2000,Ohio,Washington County,63242
2000,Ohio,Wayne County,111562
2000,Ohio,Williams County,39189
2000,Ohio,Wood County,121072
2000,Ohio,Wyandot County,22897
2000,Oklahoma,Adair County,21009
2000,Oklahoma,Alfalfa County,6092
2000,Oklahoma,Atoka County,13876
2000,Oklahoma,Beaver County,5832
2000,Oklahoma,Beckham County,19807
2000,Oklahoma,Blaine County,11965
2000,Oklahoma,Bryan County,36524
2000,Oklahoma,Caddo County,30146
2000,Oklahoma,Canadian County,87729
2000,Oklahoma,Carter County,45614
2000,Oklahoma,Cherokee County,42475
2000,Oklahoma,Choctaw County,15334
2000,Oklahoma,Cimarron County,3139
2000,Oklahoma,Cleveland County,208036
2000,Oklahoma,Coal County,6035
2000,Oklahoma,Comanche County,114996
2000,Oklahoma,Cotton County,6603
2000,Oklahoma,Craig County,14951
2000,Oklahoma,Creek County,67340
2000,Oklahoma,Custer County,26147
2000,Oklahoma,Delaware County,36949
2000,Oklahoma,Dewey County,4740
2000,Oklahoma,Ellis County,4063
2000,Oklahoma,Garfield County,57811
2000,Oklahoma,Garvin County,27216
2000,Oklahoma,Grady County,45476
2000,Oklahoma,Grant County,5144
2000,Oklahoma,Greer County,6061
2000,Oklahoma,Harmon County,3285
2000,Oklahoma,Harper County,3558
2000,Oklahoma,Haskell County,11778
2000,Oklahoma,Hughes County,14150
2000,Oklahoma,Jackson County,28439
2000,Oklahoma,Jefferson County,6820
2000,Oklahoma,Johnston County,10512
2000,Oklahoma,Kay County,48086
2000,Oklahoma,Kingfisher County,13932
2000,Oklahoma,Kiowa County,10225
2000,Oklahoma,Latimer County,10689
2000,Oklahoma,Le Flore County,48099
2000,Oklahoma,Lincoln County,32070
2000,Oklahoma,Logan County,33911
2000,Oklahoma,Love County,8826
2000,Oklahoma,Major County,7545
2000,Oklahoma,Marshall County,13131
2000,Oklahoma,Mayes County,38339
2000,Oklahoma,Mcclain County,27750
2000,Oklahoma,Mccurtain County,34384
2000,Oklahoma,Mcintosh County,19405
2000,Oklahoma,Murray County,12617
2000,Oklahoma,Muskogee County,69471
2000,Oklahoma,Noble County,11406
2000,Oklahoma,Nowata County,10564
2000,Oklahoma,Okfuskee County,11808
2000,Oklahoma,Oklahoma County,660581
2000,Oklahoma,Okmulgee County,39672
2000,Oklahoma,Osage County,44413
2000,Oklahoma,Ottawa County,33164
2000,Oklahoma,Pawnee County,16610
2000,Oklahoma,Payne County,68201
2000,Oklahoma,Pittsburg County,43944
2000,Oklahoma,Pontotoc County,35146
2000,Oklahoma,Pottawatomie County,65505
2000,Oklahoma,Pushmataha County,11660
2000,Oklahoma,Roger Mills County,3432
2000,Oklahoma,Rogers County,70649
2000,Oklahoma,Seminole County,24966
2000,Oklahoma,Sequoyah County,38952
2000,Oklahoma,Stephens County,43204
2000,Oklahoma,Texas County,20098
2000,Oklahoma,Tillman County,9285
2000,Oklahoma,Tulsa County,563475
2000,Oklahoma,Wagoner County,57476
2000,Oklahoma,Washington County,49015
2000,Oklahoma,Washita County,11510
2000,Oklahoma,Woods County,9094
2000,Oklahoma,Woodward County,18489
2000,Oregon,Baker County,16742
2000,Oregon,Benton County,78143
2000,Oregon,Clackamas County,338407
2000,Oregon,Clatsop County,35634
2000,Oregon,Columbia County,43553
2000,Oregon,Coos County,62795
2000,Oregon,Crook County,19175
2000,Oregon,Curry County,21147
2000,Oregon,Deschutes County,115372
2000,Oregon,Douglas County,100375
2000,Oregon,Gilliam County,1910
2000,Oregon,Grant County,7934
2000,Oregon,Harney County,7606
2000,Oregon,Hood River County,20407
2000,Oregon,Jackson County,181281
2000,Oregon,Jefferson County,18995
2000,Oregon,Josephine County,75729
2000,Oregon,Klamath County,63771
2000,Oregon,Lake County,7421
2000,Oregon,Lane County,323011
2000,Oregon,Lincoln County,44481
2000,Oregon,Linn County,103079
2000,Oregon,Malheur County,31618
2000,Oregon,Marion County,284844
2000,Oregon,Morrow County,10995
2000,Oregon,Multnomah County,660602
2000,Oregon,Polk County,62412
2000,Oregon,Sherman County,1934
2000,Oregon,Tillamook County,24264
2000,Oregon,Umatilla County,70556
2000,Oregon,Union County,24522
2000,Oregon,Wallowa County,7230
2000,Oregon,Wasco County,23797
2000,Oregon,Washington County,445256
2000,Oregon,Wheeler County,1551
2000,Oregon,Yamhill County,84975
2000,Pennsylvania,Adams County,91207
2000,Pennsylvania,Allegheny County,1281795
2000,Pennsylvania,Armstrong County,72345
2000,Pennsylvania,Beaver County,181448
2000,Pennsylvania,Bedford County,49890
2000,Pennsylvania,Berks County,373712
2000,Pennsylvania,Blair County,129105
2000,Pennsylvania,Bradford County,62747
2000,Pennsylvania,Bucks County,597548
2000,Pennsylvania,Butler County,174105
2000,Pennsylvania,Cambria County,152555
2000,Pennsylvania,Cameron County,5971
2000,Pennsylvania,Carbon County,58765
2000,Pennsylvania,Centre County,135678
2000,Pennsylvania,Chester County,433208
2000,Pennsylvania,Clarion County,41739
2000,Pennsylvania,Clearfield County,83529
2000,Pennsylvania,Clinton County,37879
2000,Pennsylvania,Columbia County,63947
2000,Pennsylvania,Crawford County,90352
2000,Pennsylvania,Cumberland County,213605
2000,Pennsylvania,Dauphin County,251770
2000,Pennsylvania,Delaware County,551722
2000,Pennsylvania,Elk County,35114
2000,Pennsylvania,Erie County,280907
2000,Pennsylvania,Fayette County,148536
2000,Pennsylvania,Forest County,4948
2000,Pennsylvania,Franklin County,129495
2000,Pennsylvania,Fulton County,14259
2000,Pennsylvania,Greene County,40626
2000,Pennsylvania,Huntingdon County,45613
2000,Pennsylvania,Indiana County,89593
2000,Pennsylvania,Jefferson County,45915
2000,Pennsylvania,Juniata County,22814
2000,Pennsylvania,Lackawanna County,213292
2000,Pennsylvania,Lancaster County,470783
2000,Pennsylvania,Lawrence County,94567
2000,Pennsylvania,Lebanon County,120202
2000,Pennsylvania,Lehigh County,311746
2000,Pennsylvania,Luzerne County,319429
2000,Pennsylvania,Lycoming County,120003
2000,Pennsylvania,Mckean County,45908
2000,Pennsylvania,Mercer County,120368
2000,Pennsylvania,Mifflin County,46471
2000,Pennsylvania,Monroe County,138615
2000,Pennsylvania,Montgomery County,749409
2000,Pennsylvania,Montour County,18234
2000,Pennsylvania,Northampton County,267446
2000,Pennsylvania,Northumberland County,94867
2000,Pennsylvania,Perry County,43636
2000,Pennsylvania,Philadelphia County,1517562
2000,Pennsylvania,Pike County,46125
2000,Pennsylvania,Potter County,18082
2000,Pennsylvania,Schuylkill County,150263
2000,Pennsylvania,Snyder County,37506
2000,Pennsylvania,Somerset County,80047
2000,Pennsylvania,Sullivan County,6561
2000,Pennsylvania,Susquehanna County,42225
2000,Pennsylvania,Tioga County,41346
2000,Pennsylvania,Union County,41583
2000,Pennsylvania,Venango County,57500
2000,Pennsylvania,Warren County,43784
2000,Pennsylvania,Washington County,203014
2000,Pennsylvania,Wayne County,47679
2000,Pennsylvania,Westmoreland County,369990
2000,Pennsylvania,Wyoming County,28072
2000,Pennsylvania,York County,381791
2000,Rhode Island,Bristol County,50653
2000,Rhode Island,Kent County,167220
2000,Rhode Island,Newport County,85442
2000,Rhode Island,Providence County,621404
2000,Rhode Island,Washington County,123540
2000,South Carolina,Abbeville County,26153
2000,South Carolina,Aiken County,142556
2000,South Carolina,Allendale County,11199
2000,South Carolina,Anderson County,165734
2000,South Carolina,Bamberg County,16704
2000,South Carolina,Barnwell County,23491
2000,South Carolina,Beaufort County,120931
2000,South Carolina,Berkeley County,142747
2000,South Carolina,Calhoun County,15132
2000,South Carolina,Charleston County,309921
2000,South Carolina,Cherokee County,52532
2000,South Carolina,Chester County,34112
2000,South Carolina,Chesterfield County,42765
2000,South Carolina,Clarendon County,32460
2000,South Carolina,Colleton County,38259
2000,South Carolina,Darlington County,67444
2000,South Carolina,Dillon County,30735
2000,South Carolina,Dorchester County,96353
2000,South Carolina,Edgefield County,24588
2000,South Carolina,Fairfield County,23388
2000,South Carolina,Florence County,125709
2000,South Carolina,Georgetown County,55823
2000,South Carolina,Greenville County,379648
2000,South Carolina,Greenwood County,66309
2000,South Carolina,Hampton County,21373
2000,South Carolina,Horry County,196558
2000,South Carolina,Jasper County,20672
2000,South Carolina,Kershaw County,52649
2000,South Carolina,Lancaster County,61404
2000,South Carolina,Laurens County,69407
2000,South Carolina,Lee County,20089
2000,South Carolina,Lexington County,216031
2000,South Carolina,Marion County,35475
2000,South Carolina,Marlboro County,28820
2000,South Carolina,Mccormick County,9934
2000,South Carolina,Newberry County,35979
2000,South Carolina,Oconee County,66199
2000,South Carolina,Orangeburg County,91511
2000,South Carolina,Pickens County,110755
2000,South Carolina,Richland County,320836
2000,South Carolina,Saluda County,19180
2000,South Carolina,Spartanburg County,253957
2000,South Carolina,Sumter County,104687
2000,South Carolina,Union County,29939
2000,South Carolina,Williamsburg County,37219
2000,South Carolina,York County,164656
2000,South Dakota,Aurora County,3051
2000,South Dakota,Beadle County,17027
2000,South Dakota,Bennett County,3572
2000,South Dakota,Bon Homme County,7262
2000,South Dakota,Brookings County,28233
2000,South Dakota,Brown County,35468
2000,South Dakota,Brule County,5362
2000,South Dakota,Buffalo County,2032
2000,South Dakota,Butte County,9093
2000,South Dakota,Campbell County,1782
2000,South Dakota,Charles Mix County,9350
2000,South Dakota,Clark County,4143
2000,South Dakota,Clay County,13538
2000,South Dakota,Codington County,25909
2000,South Dakota,Corson County,4177
2000,South Dakota,Custer County,7268
2000,South Dakota,Davison County,18743
2000,South Dakota,Day County,6246
2000,South Dakota,Deuel County,4498
2000,South Dakota,Dewey County,5972
2000,South Dakota,Douglas County,3456
2000,South Dakota,Edmunds County,4367
2000,South Dakota,Fall River County,7453
2000,South Dakota,Faulk County,2640
2000,South Dakota,Grant County,7845
2000,South Dakota,Gregory County,4790
2000,South Dakota,Haakon County,2196
2000,South Dakota,Hamlin County,5530
2000,South Dakota,Hand County,3741
2000,South Dakota,Hanson County,3144
2000,South Dakota,Harding County,1353
2000,South Dakota,Hughes County,16483
2000,South Dakota,Hutchinson County,8074
2000,South Dakota,Hyde County,1671
2000,South Dakota,Jackson County,2929
2000,South Dakota,Jerauld County,2286
2000,South Dakota,Jones County,1193
2000,South Dakota,Kingsbury County,5815
2000,South Dakota,Lake County,11270
2000,South Dakota,Lawrence County,21805
2000,South Dakota,Lincoln County,24158
2000,South Dakota,Lyman County,3899
2000,South Dakota,Marshall County,4578
2000,South Dakota,Mccook County,5825
2000,South Dakota,Mcpherson County,2904
2000,South Dakota,Meade County,24230
2000,South Dakota,Mellette County,2083
2000,South Dakota,Miner County,2836
2000,South Dakota,Minnehaha County,148321
2000,South Dakota,Moody County,6586
2000,South Dakota,Pennington County,88619
2000,South Dakota,Perkins County,3368
2000,South Dakota,Potter County,2693
2000,South Dakota,Roberts County,10013
2000,South Dakota,Sanborn County,2676
2000,South Dakota,Oglala Lakota County,12466
2000,South Dakota,Spink County,7452
2000,South Dakota,Stanley County,2772
2000,South Dakota,Sully County,1553
2000,South Dakota,Todd County,9050
2000,South Dakota,Tripp County,6434
2000,South Dakota,Turner County,8847
2000,South Dakota,Union County,12583
2000,South Dakota,Walworth County,5969
2000,South Dakota,Yankton County,21657
2000,South Dakota,Ziebach County,2519
2000,Tennessee,Anderson County,71470
2000,Tennessee,Bedford County,37608
2000,Tennessee,Benton County,16534
2000,Tennessee,Bledsoe County,12349
2000,Tennessee,Blount County,105824
2000,Tennessee,Bradley County,87973
2000,Tennessee,Campbell County,39839
2000,Tennessee,Cannon County,12836
2000,Tennessee,Carroll County,29446
2000,Tennessee,Carter County,56731
